antecedent_str,consequent_str,support,confidence,lift,leverage,conviction,support_count,antecedent_len,consequent_len,min_support_used,algo
asian foods,fresh fruits,0.027713564359599877,0.6473003234635482,1.1608679116176477,0.0038404224782108524,1.2543240200720502,5203,1,1,0.003,apriori
asian foods,fresh vegetables,0.02821957793141652,0.6591191838765862,1.484261359697713,0.00920703829542966,1.6308568553505676,5298,1,1,0.003,apriori
asian foods,packaged vegetables fruits,0.021401710858518604,0.4998755909430206,1.3667066159119312,0.005742380165780006,1.2681805813641467,4018,1,1,0.003,apriori
baby food formula,fresh fruits,0.03434500537972324,0.746555516961908,1.338872100735182,0.008692812492244139,1.7455486536861118,6448,1,1,0.003,apriori
baby food formula,fresh vegetables,0.02586528320780646,0.5622322565705685,1.2660830302271973,0.005435909627809134,1.2699149815773985,4856,1,1,0.003,apriori
baby food formula,milk,0.01953212387212238,0.4245687159893481,1.7337548641059748,0.008266330606593875,1.3122610544754825,3667,1,1,0.003,apriori
baby food formula,packaged vegetables fruits,0.02337250055927816,0.5080467755007526,1.3890473986931466,0.0065462204904571525,1.28924465222862,4388,1,1,0.003,apriori
baby food formula,yogurt,0.02181184817462262,0.47412295936088916,1.7975119676157525,0.009677381997157225,1.4000112397424682,4095,1,1,0.003,apriori
baking ingredients,fresh fruits,0.04749070532965453,0.6187799292109099,1.1097194580877359,0.004695470026228998,1.1604836944591814,8916,1,1,0.003,apriori
baking ingredients,fresh vegetables,0.04393795740963663,0.5724894163370117,1.2891809862175485,0.009855886793197884,1.300383749728662,8249,1,1,0.003,apriori
baking ingredients,packaged vegetables fruits,0.0327843529950677,0.4271635783191061,1.1679051730931251,0.004713278604464265,1.107206245669897,6155,1,1,0.003,apriori
baking supplies decor,fresh vegetables,0.0032651191528800163,0.5104079933388842,1.149380689753377,0.0004243552684783966,1.1354920183922979,613,1,1,0.003,apriori
bread,fresh fruits,0.11243621565765785,0.6868289191123836,1.2317584652242168,0.021155157859373427,1.4126453659048814,21109,1,1,0.003,apriori
bread,fresh vegetables,0.09154584482960659,0.559217804386022,1.2592948271106323,0.018849727241597114,1.2612301979620526,17187,1,1,0.003,apriori
bread,packaged vegetables fruits,0.07707918313430133,0.47084661937918915,1.2873386927561672,0.01720435487968227,1.198609112329909,14471,1,1,0.003,apriori
breakfast bakery,fresh fruits,0.045711668140320225,0.6750570282388108,1.2106467650151485,0.007953612313236547,1.361468671728796,8582,1,1,0.003,apriori
breakfast bakery,fresh vegetables,0.0331625315592675,0.48973491701408006,1.1028272755521393,0.0030920642300437014,1.089488256925677,6226,1,1,0.003,apriori
breakfast bakery,packaged vegetables fruits,0.029833494902579073,0.4405726421772989,1.20456680774827,0.005066504221217322,1.1337451680961448,5601,1,1,0.003,apriori
bulk dried fruits vegetables,fresh fruits,0.003925600025567001,0.7261083743842364,1.3022022106667173,0.0009110144309402461,1.6152362276747612,737,1,1,0.003,apriori
bulk grains rice dried goods,fresh fruits,0.00417061712349927,0.7885196374622356,1.4141305227724605,0.0012213723003816667,2.0919184686583563,783,1,1,0.003,apriori
bulk grains rice dried goods,fresh vegetables,0.003914947108265599,0.7401812688821753,1.6668039460061332,0.001566172306258265,2.13967566326178,735,1,1,0.003,apriori
buns rolls,fresh fruits,0.01978246742870535,0.6224233283056811,1.1162535272748262,0.002060268174382346,1.1716816988881005,3714,1,1,0.003,apriori
buns rolls,fresh vegetables,0.017412193329143184,0.5478464890229595,1.2336879195661377,0.0032982565279571184,1.2295112220428932,3269,1,1,0.003,apriori
buns rolls,packaged vegetables fruits,0.013939342288885812,0.4385788503435562,1.1991155944077931,0.0023146562670431636,1.129718864742453,2617,1,1,0.003,apriori
butter,fresh fruits,0.04924311022573532,0.6598857958601,1.1834386883160615,0.007632918914680306,1.3007386071101597,9245,1,1,0.003,apriori
butter,fresh vegetables,0.04483812892160518,0.6008565310492505,1.3530604988814863,0.011699825823797777,1.3928019849448219,8418,1,1,0.003,apriori
butter,packaged vegetables fruits,0.03391356222901642,0.4544610992148466,1.2425391481904515,0.006619804701613122,1.1626083179759583,6367,1,1,0.003,apriori
canned fruit applesauce,fresh fruits,0.017401540411841783,0.7139423076923077,1.2803835958424725,0.0038106599379383044,1.5465400443608963,3267,1,1,0.003,apriori
canned fruit applesauce,fresh vegetables,0.013135047032629885,0.5388986013986014,1.2135382953758047,0.0023112872199556045,1.2056519835302868,2466,1,1,0.003,apriori
canned fruit applesauce,packaged vegetables fruits,0.011989858422729064,0.4919143356643357,1.3449397994130181,0.003075066527982633,1.2483093075683938,2251,1,1,0.003,apriori
canned fruit applesauce,yogurt,0.011238827752980154,0.4611013986013986,1.748144159455246,0.0048098226322111776,1.3661823684576604,2110,1,1,0.003,apriori
canned jarred vegetables,fresh fruits,0.04904070479700866,0.6834681909286615,1.2257313378356858,0.00903136238792785,1.3976468192857294,9207,1,1,0.003,apriori
canned jarred vegetables,fresh vegetables,0.054942420981985915,0.7657189518224334,1.7243119004575607,0.023079031900575246,2.372909888174208,10315,1,1,0.003,apriori
canned jarred vegetables,packaged vegetables fruits,0.037769918292124297,0.526390023012397,1.4391995529205215,0.011526220386938728,1.339178004370635,7091,1,1,0.003,apriori
canned meals beans,fresh fruits,0.05007403777524475,0.718895771201346,1.2892671335614758,0.01123488918319148,1.5737923191052055,9401,1,1,0.003,apriori
canned meals beans,fresh vegetables,0.050425584046191047,0.7239428003364686,1.6302367636320698,0.01949413582277725,2.013813863612146,9467,1,1,0.003,apriori
canned meals beans,packaged vegetables fruits,0.03768469495371307,0.541026229257475,1.4792163096284516,0.012208573098905582,1.38188302744664,7075,1,1,0.003,apriori
canned meat seafood,fresh fruits,0.011931267377571348,0.6255235967606815,1.1218135463824221,0.001295571796922669,1.1813819838164474,2240,1,1,0.003,apriori
canned meat seafood,fresh vegetables,0.011414600888453303,0.5984361910080983,1.3476101686706694,0.0029443465420401476,1.3844071686340067,2143,1,1,0.003,apriori
canned meat seafood,packaged vegetables fruits,0.009092264916747451,0.47668249092432285,1.3032945113535501,0.0021158947735903343,1.2119756225098166,1707,1,1,0.003,apriori
cereal,fresh fruits,0.05941131978992447,0.6463464101524019,1.1591571642053038,0.008157424611132433,1.2509407195384608,11154,1,1,0.003,apriori
cereal,packaged vegetables fruits,0.03941046755654036,0.4287535492843484,1.1722523024122524,0.005791026182493338,1.1102879729715627,7399,1,1,0.003,apriori
chips pretzels,fresh fruits,0.10635339987855674,0.6285453457990997,1.127232748827574,0.012004295854410804,1.190992416296508,19967,1,1,0.003,apriori
chips pretzels,packaged vegetables fruits,0.07347317062777642,0.43422419491925585,1.1872095592137553,0.011585890444120416,1.1210236601435517,13794,1,1,0.003,apriori
preserved dips spreads,chips pretzels,0.013806180822618273,0.4325045886868012,2.5560889126841513,0.008404889516158833,1.4639667061284007,2592,1,1,0.003,apriori
condiments,fresh fruits,0.036688647186031896,0.6194801690799533,1.110975267740446,0.0036648272582930908,1.1626192387441412,6888,1,1,0.003,apriori
condiments,fresh vegetables,0.03614534840366034,0.6103066822555985,1.3743411634744762,0.00984522048470813,1.4265777484975937,6786,1,1,0.003,apriori
condiments,packaged vegetables fruits,0.02762301456253795,0.46640884971670116,1.2752054154617636,0.005961395008847924,1.1886405227964145,5186,1,1,0.003,apriori
crackers,fresh fruits,0.07562505992265982,0.6584427027779066,1.1808506462714787,0.011582193738485708,1.2952429350781787,14198,1,1,0.003,apriori
crackers,fresh vegetables,0.05726475695369177,0.49858554004544825,1.1227578709528798,0.006261100301441884,1.108719153976443,10751,1,1,0.003,apriori
